Order ID,Order Date,Region,Product Line,Units Sold,Unit Price,Order Status,Delivery Days,Support Issue,Resolution Time (hrs),Customer Satisfaction,Total Revenue
HP00001,2025-01-05 03:38:52.847697,South America,Accessories,48,1596.86,Backordered,10,Network,34,3,76649.28
HP00002,2025-04-27 03:38:52.847734,Middle East,Monitors,69,1596.86,Cancelled,13,Software,13,5,110183.34
HP00003,2024-06-04 03:38:52.847739,Asia-Pacific,Printers,90,1596.86,Backordered,10,Hardware,43,5,143717.4
HP00004,2025-05-09 03:38:52.847742,Middle East,Laptops,62,1596.86,Delivered,2,Hardware,62,2,99005.32
HP00005,2025-01-22 03:38:52.847745,Middle East,Printers,92,1596.86,Backordered,6,Setup,22,5,146911.12
HP00006,2024-11-09 03:38:52.847748,Europe,Printers,66,1596.86,Backordered,6,Setup,52,2,105392.76
HP00007,2024-08-10 03:38:52.847751,Asia-Pacific,Accessories,64,1596.86,Pending,1,Setup,52,5,102199.04
HP00008,2025-04-24 03:38:52.847755,Asia-Pacific,Monitors,70,1596.86,Backordered,7,Hardware,36,1,111780.2
HP00009,2025-01-01 03:38:52.847764,Asia-Pacific,Desktops,63,1596.86,Cancelled,8,Software,19,2,100602.18
HP00010,2024-06-26 03:38:52.847768,Middle East,Monitors,73,1596.86,Pending,2,Warranty,38,2,116570.78
HP00011,2025-01-26 03:38:52.847771,South America,Monitors,33,1596.86,Delivered,8,Setup,70,4,52696.38
HP00012,2024-12-17 03:38:52.847774,Asia-Pacific,Printers,41,1596.86,Cancelled,9,Software,57,5,65471.26
HP00013,2025-03-22 03:38:52.847777,Africa,Monitors,89,1596.86,Delivered,6,Network,20,5,142120.54
HP00014,2024-10-05 03:38:52.847780,Middle East,Laptops,48,1596.86,Backordered,5,Setup,9,2,76649.28
HP00015,2025-04-13 03:38:52.847782,Europe,Printers,13,1596.86,Cancelled,12,Warranty,32,1,20759.18
HP00016,2025-03-18 03:38:52.847785,South America,Laptops,73,1596.86,Cancelled,9,Network,4,1,116570.78
HP00017,2025-05-14 03:38:52.847788,Africa,Desktops,77,1596.86,Delivered,13,Network,50,1,122958.22
HP00018,2025-04-12 03:38:52.847790,Africa,Printers,31,1596.86,Cancelled,12,Warranty,5,5,49502.66
HP00019,2025-04-24 03:38:52.847794,Europe,Desktops,75,1596.86,Cancelled,11,Setup,20,4,119764.5
HP00020,2024-10-16 03:38:52.847798,South America,Printers,68,1596.86,Cancelled,9,Hardware,37,2,108586.48
HP00021,2024-09-23 03:38:52.847803,Middle East,Accessories,98,1596.86,Backordered,1,Warranty,22,3,156492.28
HP00022,2024-06-12 03:38:52.847807,North America,Monitors,4,1596.86,Delivered,11,Warranty,58,4,6387.44
HP00023,2024-08-05 03:38:52.847811,South America,Accessories,19,1596.86,Cancelled,3,Warranty,68,3,30340.34
HP00024,2024-10-16 03:38:52.847816,Europe,Desktops,70,1596.86,Pending,9,Network,44,4,111780.2
HP00025,2024-07-27 03:38:52.847825,Africa,Monitors,98,1596.86,Pending,11,Software,34,1,156492.28
HP00026,2024-07-14 03:38:52.847828,Middle East,Printers,82,1596.86,Pending,2,Hardware,42,5,130942.52
HP00027,2024-09-19 03:38:52.847831,South America,Monitors,13,1596.86,Pending,12,Setup,9,3,20759.18
HP00028,2025-05-04 03:38:52.847833,North America,Laptops,23,1596.86,Backordered,4,Setup,7,4,36727.78
HP00029,2025-03-22 03:38:52.847836,North America,Monitors,83,1596.86,Cancelled,4,Software,68,5,132539.38
HP00030,2024-10-22 03:38:52.847838,Asia-Pacific,Laptops,75,1596.86,Delivered,2,Warranty,19,3,119764.5
HP00031,2024-08-22 03:38:52.847841,Asia-Pacific,Monitors,1,1596.86,Cancelled,3,Hardware,31,2,1596.86
HP00032,2024-05-24 03:38:52.847843,Europe,Laptops,88,1596.86,Backordered,13,Setup,35,4,140523.68
HP00033,2024-11-18 03:38:52.847846,South America,Desktops,54,1596.86,Pending,3,Setup,57,2,86230.44
HP00034,2024-08-30 03:38:52.847849,South America,Accessories,71,1596.86,Backordered,1,Warranty,61,1,113377.06
HP00035,2025-04-14 03:38:52.847852,Africa,Printers,89,1596.86,Cancelled,6,Software,31,2,142120.54
HP00036,2024-09-07 03:38:52.847854,Africa,Monitors,85,1596.86,Delivered,8,Hardware,53,2,135733.1
HP00037,2025-01-05 03:38:52.847857,Africa,Accessories,15,1596.86,Backordered,12,Software,32,4,23952.9
HP00038,2025-05-13 03:38:52.847859,Asia-Pacific,Printers,65,1596.86,Delivered,3,Software,66,1,103795.9
HP00039,2024-10-31 03:38:52.847862,South America,Printers,76,1596.86,Backordered,5,Hardware,59,2,121361.36
HP00040,2025-03-10 03:38:52.847865,South America,Laptops,71,1596.86,Delivered,1,Hardware,10,5,113377.06
HP00041,2024-07-04 03:38:52.847867,North America,Desktops,15,1596.86,Delivered,10,Setup,2,3,23952.9
HP00042,2024-08-03 03:38:52.847870,Asia-Pacific,Desktops,21,1596.86,Pending,7,Setup,66,2,33534.06
HP00043,2024-08-27 03:38:52.847872,Middle East,Accessories,19,1596.86,Delivered,10,Hardware,60,1,30340.34
HP00044,2025-03-01 03:38:52.847875,Asia-Pacific,Desktops,60,1596.86,Pending,13,Network,17,2,95811.6
HP00045,2024-06-25 03:38:52.847878,Middle East,Monitors,93,1596.86,Cancelled,1,Setup,16,3,148507.98
HP00046,2024-06-14 03:38:52.847880,North America,Desktops,89,1596.86,Cancelled,12,Network,16,1,142120.54
HP00047,2025-01-25 03:38:52.847883,Europe,Accessories,33,1596.86,Pending,11,Hardware,46,4,52696.38
HP00048,2024-07-27 03:38:52.847885,South America,Desktops,49,1596.86,Pending,9,Setup,39,1,78246.14
HP00049,2024-06-06 03:38:52.847888,North America,Monitors,96,1596.86,Backordered,8,Software,31,4,153298.56
HP00050,2024-12-07 03:38:52.847890,South America,Laptops,35,1596.86,Backordered,7,Hardware,1,1,55890.1
HP00051,2025-01-23 03:38:52.847894,Africa,Accessories,44,1596.86,Backordered,10,Warranty,11,3,70261.84
HP00052,2025-05-06 03:38:52.847899,Europe,Laptops,90,1596.86,Cancelled,7,Network,4,3,143717.4
HP00053,2024-06-10 03:38:52.847903,Europe,Laptops,11,1596.86,Backordered,5,Hardware,71,1,17565.46
HP00054,2024-08-13 03:38:52.847908,North America,Laptops,99,1596.86,Delivered,5,Hardware,26,2,158089.14
HP00055,2024-06-27 03:38:52.847913,Europe,Printers,72,1596.86,Delivered,11,Setup,50,3,114973.92
HP00056,2024-06-27 03:38:52.847919,Middle East,Printers,78,1596.86,Backordered,13,Setup,12,4,124555.08
HP00057,2024-09-29 03:38:52.847922,Europe,Laptops,74,1596.86,Delivered,5,Setup,65,4,118167.64
HP00058,2024-09-20 03:38:52.847924,South America,Accessories,66,1596.86,Cancelled,1,Warranty,47,5,105392.76
HP00059,2024-09-06 03:38:52.847927,South America,Monitors,46,1596.86,Delivered,8,Setup,53,4,73455.56
HP00060,2024-07-13 03:38:52.847931,South America,Monitors,9,1596.86,Cancelled,12,Hardware,71,5,14371.74
HP00061,2024-08-12 03:38:52.847936,South America,Desktops,3,1596.86,Pending,11,Setup,2,1,4790.58
HP00062,2025-02-07 03:38:52.847940,Middle East,Accessories,85,1596.86,Pending,1,Software,24,1,135733.1
HP00063,2025-01-21 03:38:52.847944,Asia-Pacific,Printers,26,1596.86,Pending,4,Setup,4,1,41518.36
HP00064,2025-02-16 03:38:52.847949,Africa,Laptops,72,1596.86,Pending,9,Warranty,19,2,114973.92
HP00065,2025-05-11 03:38:52.847954,North America,Desktops,48,1596.86,Delivered,14,Software,26,2,76649.28
HP00066,2025-01-24 03:38:52.847957,South America,Monitors,66,1596.86,Backordered,9,Hardware,40,5,105392.76
HP00067,2024-05-31 03:38:52.847960,Europe,Printers,70,1596.86,Delivered,5,Hardware,50,4,111780.2
HP00068,2025-02-16 03:38:52.847963,South America,Printers,28,1596.86,Cancelled,4,Network,43,4,44712.08
HP00069,2024-06-06 03:38:52.847965,Europe,Laptops,93,1596.86,Delivered,3,Software,67,1,148507.98
HP00070,2025-04-29 03:38:52.847968,Africa,Monitors,26,1596.86,Delivered,3,Network,12,3,41518.36
HP00071,2024-11-13 03:38:52.847970,Africa,Accessories,25,1596.86,Cancelled,12,Software,67,2,39921.5
HP00072,2025-04-01 03:38:52.847973,Africa,Printers,12,1596.86,Pending,5,Software,27,2,19162.32
HP00073,2025-03-09 03:38:52.847976,Europe,Laptops,5,1596.86,Pending,10,Warranty,54,1,7984.3
HP00074,2025-03-27 03:38:52.847980,South America,Accessories,98,1596.86,Pending,1,Network,66,2,156492.28
HP00075,2024-09-25 03:38:52.847985,Africa,Monitors,48,1596.86,Backordered,5,Warranty,49,1,76649.28
HP00076,2025-01-17 03:38:52.847989,Middle East,Printers,37,1596.86,Cancelled,6,Software,16,5,59083.82
